Price,Address,homeType,beds,baths,sq_feet,Status,Link,Unit Count
"$2,325/mo",5886-Instone-Cir-Colorado-Springs-CO-80922,SINGLE_FAMILY,4,3,3142,FOR_RENT,www.zillow.com//homedetails/5886-Instone-Cir-Colorado-Springs-CO-80922/13539109_zpid/,--
"$2,475/mo",4655-Spacewalk-Way-Colorado-Springs-CO-80916,SINGLE_FAMILY,4,3,1944,FOR_RENT,www.zillow.com//homedetails/4655-Spacewalk-Way-Colorado-Springs-CO-80916/13621994_zpid/,--
"$2,699/mo",4345-Reginold-Ct-Colorado-Springs-CO-80906,SINGLE_FAMILY,5,3.5,3841,FOR_RENT,www.zillow.com//homedetails/4345-Reginold-Ct-Colorado-Springs-CO-80906/13638035_zpid/,--
"$1,475/mo",3735-Strawberry-Field-Grv-APT-H-Colorado-Springs-CO-80906,APARTMENT,2,2,1084,FOR_RENT,www.zillow.com//homedetails/3735-Strawberry-Field-Grv-APT-H-Colorado-Springs-CO-80906/13635804_zpid/,--
"$1,995/mo",6259-Calico-Patch-Hts-Colorado-Springs-CO-80923,TOWNHOUSE,3,3,1486,FOR_RENT,www.zillow.com//homedetails/6259-Calico-Patch-Hts-Colorado-Springs-CO-80923/63049502_zpid/,--
"$1,625+/mo","2555 Raywood Vw, Colorado Springs, CO",--,1,1,707,FOR_RENT,"www.zillow.com//b/Sagebrook-Colorado-Springs-CO/38.967543,-104.780122_ll/",25
"$2,300/mo",9501-Sycamore-Glen-Trl-Colorado-Springs-CO-80920,SINGLE_FAMILY,4,2,2617,FOR_RENT,www.zillow.com//homedetails/9501-Sycamore-Glen-Trl-Colorado-Springs-CO-80920/64827557_zpid/,--
"$1,400/mo",4249-Hunting-Meadows-Cir-Colorado-Springs-CO-80916,SINGLE_FAMILY,2,3,1491,FOR_RENT,www.zillow.com//homedetails/4249-Hunting-Meadows-Cir-Colorado-Springs-CO-80916/2100132767_zpid/,--
"$2,200/mo",4244-Round-Hill-Dr-Colorado-Springs-CO-80922,SINGLE_FAMILY,4,4,2644,FOR_RENT,www.zillow.com//homedetails/4244-Round-Hill-Dr-Colorado-Springs-CO-80922/59736490_zpid/,--
"$2,695/mo",4973-Santiago-Way-Colorado-Springs-CO-80917,SINGLE_FAMILY,5,3,2520,FOR_RENT,www.zillow.com//homedetails/4973-Santiago-Way-Colorado-Springs-CO-80917/13597776_zpid/,--
"$1,395/mo",2601-S-Hancock-Ave-B-Colorado-Springs-CO-80905,APARTMENT,1,1,800,FOR_RENT,www.zillow.com//homedetails/2601-S-Hancock-Ave-B-Colorado-Springs-CO-80905/2069776924_zpid/,--
"$1,895/mo",3965-Sedgewood-Way-Colorado-Springs-CO-80918,SINGLE_FAMILY,3,2.5,2169,FOR_RENT,www.zillow.com//homedetails/3965-Sedgewood-Way-Colorado-Springs-CO-80918/13571620_zpid/,--
$949+/mo,"202 Beaver Ct, Colorado Springs, CO",--,1,1,520,FOR_RENT,www.zillow.com//b/201-204-beaver-court-colorado-springs-co-5Yy7sH/,2
"$2,660/mo",7126-Battle-Mountain-Rd-Colorado-Springs-CO-80922,SINGLE_FAMILY,4,4,3020,FOR_RENT,www.zillow.com//homedetails/7126-Battle-Mountain-Rd-Colorado-Springs-CO-80922/2069787028_zpid/,--
"$2,450/mo",5435-Lions-Gate-Ln-Colorado-Springs-CO-80919,SINGLE_FAMILY,4,3.5,3024,FOR_RENT,www.zillow.com//homedetails/5435-Lions-Gate-Ln-Colorado-Springs-CO-80919/13655662_zpid/,--
"$2,100/mo",5320-Fiesta-Ln-Colorado-Springs-CO-80918,SINGLE_FAMILY,5,2,1888,FOR_RENT,www.zillow.com//homedetails/5320-Fiesta-Ln-Colorado-Springs-CO-80918/13580328_zpid/,--
"$1,775/mo",965-Evening-Star-Ct-Colorado-Springs-CO-80910,SINGLE_FAMILY,3,2.5,1309,FOR_RENT,www.zillow.com//homedetails/965-Evening-Star-Ct-Colorado-Springs-CO-80910/13620560_zpid/,--
"$1,600/mo",503-E-Cheyenne-Rd-Colorado-Springs-CO-80905,SINGLE_FAMILY,3,1,894,FOR_RENT,www.zillow.com//homedetails/503-E-Cheyenne-Rd-Colorado-Springs-CO-80905/13627882_zpid/,--
"$2,150/mo",1326-E-Platte-Ave-Colorado-Springs-CO-80909,SINGLE_FAMILY,3,2,1676,FOR_RENT,www.zillow.com//homedetails/1326-E-Platte-Ave-Colorado-Springs-CO-80909/243806644_zpid/,--
"$1,895/mo",2511-Tremont-St-Colorado-Springs-CO-80907,SINGLE_FAMILY,3,2,1636,FOR_RENT,www.zillow.com//homedetails/2511-Tremont-St-Colorado-Springs-CO-80907/112762262_zpid/,--
"$1,100/mo",6607-Proud-Eagle-Ct-Colorado-Springs-CO-80915,APARTMENT,2,2,896,FOR_RENT,www.zillow.com//homedetails/6607-Proud-Eagle-Ct-Colorado-Springs-CO-80915/13544792_zpid/,--
"$2,300/mo",2610-E-Bijou-St-Colorado-Springs-CO-80909,SINGLE_FAMILY,5,2,2080,FOR_RENT,www.zillow.com//homedetails/2610-E-Bijou-St-Colorado-Springs-CO-80909/13615726_zpid/,--
"$1,795/mo",7086-Sand-Crest-Vw-Colorado-Springs-CO-80923,TOWNHOUSE,2,2,1173,FOR_RENT,www.zillow.com//homedetails/7086-Sand-Crest-Vw-Colorado-Springs-CO-80923/64860801_zpid/,--
"$2,350/mo",2247-Conservatory-Point-Colorado-Springs-CO-80918,TOWNHOUSE,4,3,2646,FOR_RENT,www.zillow.com//homedetails/2247-Conservatory-Point-Colorado-Springs-CO-80918/82241467_zpid/,--
$895/mo,2901-Beacon-St-2-Colorado-Springs-CO-80907,TOWNHOUSE,1,0.5,340,FOR_RENT,www.zillow.com//homedetails/2901-Beacon-St-2-Colorado-Springs-CO-80907/2070006283_zpid/,--
"$2,649/mo",3247-Bewildering-Hts-Colorado-Springs-CO-80908,TOWNHOUSE,3,2.5,1640,FOR_RENT,www.zillow.com//homedetails/3247-Bewildering-Hts-Colorado-Springs-CO-80908/319912586_zpid/,--
"$2,410/mo",6580-Brook-Park-Dr-Colorado-Springs-CO-80918,SINGLE_FAMILY,4,3,1771,FOR_RENT,www.zillow.com//homedetails/6580-Brook-Park-Dr-Colorado-Springs-CO-80918/13569854_zpid/,--
"$1,300/mo",3028-N-Institute-St-Colorado-Springs-CO-80907,SINGLE_FAMILY,2,1,800,FOR_RENT,www.zillow.com//homedetails/3028-N-Institute-St-Colorado-Springs-CO-80907/2105775151_zpid/,--
"$1,675/mo",8215-Candon-Dr-Colorado-Springs-CO-80920,SINGLE_FAMILY,4,3,1740,FOR_RENT,www.zillow.com//homedetails/8215-Candon-Dr-Colorado-Springs-CO-80920/13563668_zpid/,--
$885/mo,1935-Carmel-Dr-APT-316-Colorado-Springs-CO-80910,APARTMENT,1,1,,FOR_RENT,www.zillow.com//homedetails/1935-Carmel-Dr-APT-316-Colorado-Springs-CO-80910/2085561934_zpid/,--
"$1,550/mo",4843-Harrier-Ridge-Dr-1-Colorado-Springs-CO-80916,TOWNHOUSE,2,2.5,1216,FOR_RENT,www.zillow.com//homedetails/4843-Harrier-Ridge-Dr-1-Colorado-Springs-CO-80916/2078874460_zpid/,--
"$2,350/mo",6824-Spruce-Hill-Ct-Colorado-Springs-CO-80923,SINGLE_FAMILY,3,2.5,2723,FOR_RENT,www.zillow.com//homedetails/6824-Spruce-Hill-Ct-Colorado-Springs-CO-80923/247507706_zpid/,--
"$2,500/mo",1240-Dancing-Horse-Dr-Colorado-Springs-CO-80919,SINGLE_FAMILY,4,4,2900,FOR_RENT,www.zillow.com//homedetails/1240-Dancing-Horse-Dr-Colorado-Springs-CO-80919/13649970_zpid/,--
"$2,525/mo",5635-Grays-Peak-Ct-Colorado-Springs-CO-80923,SINGLE_FAMILY,5,2,3358,FOR_RENT,www.zillow.com//homedetails/5635-Grays-Peak-Ct-Colorado-Springs-CO-80923/64661651_zpid/,--
